SCIENTIFIC_NAME,GrowthHabit1,GrowthHabit2,GrowthHabit3,GrowthHabit_Number,Order,COMMON_NAME
Albizia julibrissin,Tree,,,1,Fabales,silktree
Lonicera japonica,Vine,,,1,Dipsacales,Japanese honeysuckle
Melia azedarach,Tree,,,1,Sapindales,Chinaberrytree
Pueraria montana var. lobata,Vine,,,1,Fabales,kudzu
Ligustrum japonicum,Shrub,,,1,Scrophulariales,Japanese privet
Nandina domestica,Shrub,,,1,Ranunculales,sacred bamboo
Triadica sebifera,Tree,,,1,Euphorbiales,Chinese tallow
Cinnamomum camphora,Tree,,,1,Laurales,camphortree
Lygodium japonicum,Forb/herb,Vine,,2,Polypodiales,Japanese climbing fern
Lygodium microphyllum,Forb/herb,Vine,,2,Polypodiales,small-leaf climbing fern
Imperata cylindrica,Graminoid,,,1,Cyperales,cogongrass
Lespedeza cuneata,Forb/herb,Subshrub,,2,Fabales,sericea lespedeza
Ailanthus altissima,Tree,,,1,Sapindales,tree of heaven
Schedonorus arundinaceus,Graminoid,,,1,Cyperales,tall fescue
Arundo donax,Graminoid,,,1,Cyperales,giant reed
Paulownia tomentosa,Tree,,,1,Scrophulariales,princesstree
Indigofera hirsuta,Forb/herb,Subshrub,,2,Fabales,hairy indigo
Ardisia crenata,Shrub,,,1,Primulales,hen's eyes
Elaeagnus pungens,Shrub,,,1,Rhamnales,thorny olive
Solanum viarum,Subshrub,,,1,Solanales,tropical soda apple
Euonymus alatus,Shrub,,,1,Celastrales,burningbush
Euonymus fortunei,Shrub,,,1,Celastrales,winter creeper
Microstegium vimineum,Graminoid,,,1,Cyperales,Nepalese browntop
Schinus terebinthifolius,Tree,,,1,Sapindales,Brazilian peppertree
Melaleuca quinquenervia,Shrub,Tree,,1,Myrtales,punktree
Alliaria petiolata,Forb/herb,,,1,Capparales,garlic mustard
Celastrus orbiculatus,Vine,,,1,Celastrales,Oriental bittersweet
Solanum tampicense,Shrub,Tree,Vine,3,Solanales,scrambling nightshade
Abrus precatorius,Vine,,,1,Fabales,rosarypea
Lantana camara,Shrub,Vine,,2,Lamiales,lantana
Paederia foetida,Shrub,Vine,,2,Rubiales,stinkvine
Miscanthus sinensis,Graminoid,,,1,Cyperales,Chinese silvergrass
Macfadyena unguis-cati,Vine,,,1,Scrophulariales,catclawvine
Cupaniopsis anacardioides,Tree,,,1,Sapindales,carrotwood
Eugenia uniflora,Shrub,Tree,,2,Myrtales,Surinam cherry
Rhodomyrtus tomentosa,Shrub,Tree,,2,Myrtales,rose myrtle
Schefflera actinophylla,Tree,,,1,Apiales,octopus tree
Robinia pseudoacacia,Tree,,,1,Fabales,black locust
Rosa multiflora,Subshrub,Vine,,2,Rosales,multiflora rose
Berberis thunbergii,Shrub,,,1,Ranunculales,Japanese barberry
Cirsium arvense,Forb/herb,,,1,Asterales,Canada thistle
Lonicera maackii,Shrub,,,1,Dipsacales,Amur honeysuckle
Phragmites australis,Graminoid,Shrub,Subshrub,3,Cyperales,common reed
Syzygium cumini,Tree,,,1,Myrtales,Java plum
Hedera helix,Vine,,,1,Apiales,English ivy
Lonicera morrowii,Shrub,,,1,Dipsacales,Morrow's honeysuckle
Lonicera tatarica,Shrub,,,1,Dipsacales,Tatarian honeysuckle
Rhamnus cathartica,Shrub,Tree,,2,Rhamnales,common buckthorn
Elaeagnus umbellata,Shrub,,,1,Rhamnales,autumn olive
Lysimachia nummularia,Forb/herb,,,1,Primulales,creeping jenny
Polygonum x bohemicum,Forb/herb,,,1,Polygonales,Bohemian knotweed
Acer platanoides,Tree,,,1,Sapindales,Norway maple
Ulmus pumila,Shrub,Tree,,2,Urticales,Siberian elm
Polygonum cuspidatum,Forb/herb,Subshrub,,2,Polygonales,Japanese knotweed
Berberis vulgaris,Shrub,,,1,Ranunculales,common barberry
Ligustrum vulgare,Shrub,,,1,Scrophulariales,European privet
Elaeagnus angustifolia,Shrub,Tree,,1,Rhamnales,Russian olive
Pyrus calleryana,Tree,,,1,Rosales,Callery pear
Mahonia bealei,Shrub,,,1,Ranunculales,Beale's barberry
Poncirus trifoliata,Shrub,Tree,,2,Sapindales,hardy orange
Urena lobata,Subshrub,,,1,Malvales,Caesarweed
Ampelopsis brevipedunculata,Vine,,,1,Rhamnales,Amur peppervine
Vernicia fordii,Tree,,,1,Euphorbiales,tungoil tree
Phyllostachys aurea,Graminoid,Shrub,Vine,3,Cyperales,golden bamboo
Securigera varia,Forb/herb,Vine,,2,Fabales,crownvetch
Cirsium vulgare,Forb/herb,,,1,Asterales,bull thistle
Acacia auriculiformis,Shrub,Tree,,2,Fabales,earleaf acacia
Broussonetia papyrifera,Tree,,,1,Urticales,paper mulberry
Firmiana simplex,Shrub,Tree,,2,Malvales,Chinese parasoltree
Urochloa maxima,Graminoid,,,1,Cyperales,guineagrass
Spiraea japonica,Shrub,,,1,Rosales,Japanese meadowsweet
Leucaena leucocephala,Shrub,Tree,,2,Fabales,white leadtree
Melinis repens,Graminoid,,,1,Cyperales,rose Natal grass
Akebia quinata,Vine,,,1,Ranunculales,chocolate vine
