Route Number,Route Name,County,Bob_Region
705,Butler,Butler,Eastcentral
706,Cass North,Cass,Southeast
712,Gage North,Gage,Southeast
713,Gage South,Gage,Southeast
717,Jefferson,Jefferson,Southeast
718,Johnson North,Johnson,Southeast
719,Johnson South,Johnson,Southeast
721,Lancaster East,Lancaster,Southeast
722,Lancaster North,Lancaster,Southeast
723,Lancaster-Branched Oak,Lancaster,Southeast
728,Nemaha,Nemaha,Southeast
730,Otoe-Check,Otoe,Southeast
731,Otoe North,Otoe,Southeast
732,Otoe South,Otoe,Southeast
733,Pawnee,Pawnee,Southeast
736,Richardson,Richardson,Southeast
737,Saline,Saline,Southeast
738,Saunders,Saunders,Eastcentral
739,Seward,Seward,Eastcentral
742,Thayer,Thayer,Eastcentral
